T,EMS-obj-nr,DocIn,DocnrIn,Status,InEntrepot,OutEntrepot,InAV,OutAV,Weight,CN-code,CIF-value,SALE-value,ExEMS,PIO,customs,DocOut,DocnrOut,,
F,3074279X13,,,800,20/11/15,,20/11/15,20/11/15,156,7226110091C04100000000,1682,2015,26/11/15,283556,EXIT,,,T2,90
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074279X14,,,800,20/11/15,,20/11/15,20/11/15,225,7226110091C04100000000,1682,2520,3/12/2015,283556,EXIT,,,T2,130
F,3074279X15,,,800,20/11/15,26/11/15,20/11/15,20/11/15,278,7226110091C04100000000,1682,2790,26/11/15,283556,EXIT,EUA,15NL1E0E972BE655E0,T2,160
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074279X16,,,800,20/11/15,,20/11/15,20/11/15,296,7226110091C04100000000,1682,2015,26/11/15,283556,EXIT,,,T2,170
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074279X17,,,800,20/11/15,,20/11/15,20/11/15,179,7226110091C04100000000,1682,2015,26/11/15,283557,EXIT,,,T2,90
S,3074279X18,,,900,20/11/15,,20/11/15,20/11/15,260,7226110091C04100000000,1682,0,,283557,USED,,,T2,130
F,3074279X19,,,800,20/11/15,26/11/15,20/11/15,20/11/15,320,7226110091C04100000000,1682,2790,26/11/15,283557,EXIT,EUA,15NL1E0E972BE655E0,T2,160
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074279X20,,,800,20/11/15,,20/11/15,20/11/15,341,7226110091C04100000000,1682,2015,26/11/15,283557,EXIT,,,T2,170
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074279X21,,,800,20/11/15,,20/11/15,20/11/15,219,7226110091C04100000000,1682,2015,26/11/15,283558,EXIT,,,T2,90
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074279X22,,,800,20/11/15,,20/11/15,20/11/15,316,7226110091C04100000000,1682,2520,4/12/2015,283558,EXIT,,,T2,130
F,3074279X23,,,800,20/11/15,26/11/15,20/11/15,20/11/15,390,7226110091C04100000000,1682,2790,26/11/15,283558,EXIT,EUA,15NL1E0E972BE655E0,T2,160
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074279X24,,,800,20/11/15,,20/11/15,20/11/15,415,7226110091C04100000000,1682,2015,1/12/2015,283558,EXIT,,,T2,170
S,3076806X08,,,900,6/11/2015,20/11/15,20/11/15,20/11/15,784,7226110091C04100000000,1682,0,,283753,USED,,,T1,410
X,3076806X08SCRAP,,,200,20/11/15,,20/11/15,20/11/15,44,7.20429E+21,1682,0,,283753,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3076806X09,,,800,20/11/15,,20/11/15,20/11/15,170,7226110091C04100000000,1682,2015,2/12/2015,283753,EXIT,,,T2,90
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3076806X10,,,800,20/11/15,,20/11/15,20/11/15,285,7226110091C04100000000,1682,2015,2/12/2015,283753,EXIT,,,T2,150
F,3076806X11,,,800,20/11/15,25/11/15,20/11/15,20/11/15,285,7226110091C04100000000,1682,2440,25/11/15,283753,EXIT,EXA,15NL1DF85A2E6ED874,T2,150
S,3076812X02,,,900,30/10/15,4/11/2015,4/11/2015,4/11/2015,1600,7225110010C04100000000,1682,0,,282824,USED,,,T1,820
X,3076812X02SCRAP,,,200,4/11/2015,,4/11/2015,4/11/2015,80,7.20429E+21,1682,0,,282824,ENTREPOT,,,T3,0
S,3076812X03,,,900,30/10/15,20/11/15,20/11/15,20/11/15,196,7226110091C04100000000,1682,0,,283410,USED,,,T1,100
X,3076812X03SCRAP,,,200,20/11/15,,20/11/15,20/11/15,24,7.20429E+21,1682,0,,283410,ENTREPOT,,,T3,0
S,3076812X04,,,900,30/10/15,4/11/2015,4/11/2015,4/11/2015,1614,7225110010C04100000000,1682,0,,282823,USED,,,T1,820
X,3076812X04SCRAP,,,200,4/11/2015,,4/11/2015,4/11/2015,44,7.20429E+21,1682,0,,282823,ENTREPOT,,,T3,0
S,3076812X06,,,900,30/10/15,4/11/2015,4/11/2015,4/11/2015,1601,7225110010C04100000000,1682,0,,282819,USED,,,T1,820
X,3076812X06SCRAP,,,200,4/11/2015,,4/11/2015,4/11/2015,41,7.20429E+21,1682,0,,282819,ENTREPOT,,,T3,0
S,3076812X08,,,900,30/10/15,4/11/2015,4/11/2015,4/11/2015,1552,7225110010C04100000000,1682,0,,282820,USED,,,T1,820
X,3076812X08SCRAP,,,200,4/11/2015,,4/11/2015,4/11/2015,42,7.20429E+21,1682,0,,282820,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3076812X09,,,800,4/11/2015,,4/11/2015,4/11/2015,195,7226110091C04100000000,1682,2015,24/11/15,282819,EXIT,,,T2,100
F,3076812X10,,,800,4/11/2015,6/11/2015,4/11/2015,4/11/2015,273,7226110091C04100000000,1682,2790,6/11/2015,282819,EXIT,EUA,15NL1C3A9025DD9448,T2,140
F,3076812X11,,,800,4/11/2015,6/11/2015,4/11/2015,4/11/2015,273,7226110091C04100000000,1682,2790,6/11/2015,282819,EXIT,EUA,15NL1C3A9025DD9448,T2,140
F,3076812X12,,,800,4/11/2015,6/11/2015,4/11/2015,4/11/2015,273,7226110091C04100000000,1682,2790,6/11/2015,282819,EXIT,EUA,15NL1C3A9025DD9448,T2,140
F,3076812X13,,,800,4/11/2015,6/11/2015,4/11/2015,4/11/2015,273,7226110091C04100000000,1682,2790,6/11/2015,282819,EXIT,EUA,15NL1C3A9025DD9448,T2,140
F,3076812X14,,,800,4/11/2015,6/11/2015,4/11/2015,4/11/2015,273,7226110091C04100000000,1682,2790,6/11/2015,282819,EXIT,EUA,15NL1C3A9025DD9448,T2,140
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3076812X15,,,800,4/11/2015,,4/11/2015,4/11/2015,188,7226110091C04100000000,1682,2015,24/11/15,282820,EXIT,,,T2,100
F,3076812X16,,,800,4/11/2015,6/11/2015,4/11/2015,4/11/2015,265,7226110091C04100000000,1682,2790,6/11/2015,282820,EXIT,EUA,15NL1C3A9025DD9448,T2,140
F,3076812X17,,,800,4/11/2015,6/11/2015,4/11/2015,4/11/2015,265,7226110091C04100000000,1682,2790,6/11/2015,282820,EXIT,EUA,15NL1C3A9025DD9448,T2,140
F,3076812X18,,,800,4/11/2015,6/11/2015,4/11/2015,4/11/2015,264,7226110091C04100000000,1682,2790,6/11/2015,282820,EXIT,EUA,15NL1C3A9025DD9448,T2,140
F,3076812X19,,,800,4/11/2015,6/11/2015,4/11/2015,4/11/2015,264,7226110091C04100000000,1682,2790,6/11/2015,282820,EXIT,EUA,15NL1C3A9025DD9448,T2,140
F,3076812X20,,,800,4/11/2015,6/11/2015,4/11/2015,4/11/2015,264,7226110091C04100000000,1682,2790,6/11/2015,282820,EXIT,EUA,15NL1C3A9025DD9448,T2,140
F,3076812X21,,,800,4/11/2015,6/11/2015,4/11/2015,4/11/2015,255,7226110091C04100000000,1682,2790,6/11/2015,282823,EXIT,EUA,15NL1C3A9025DD9448,T2,130
F,3076812X22,,,800,4/11/2015,6/11/2015,4/11/2015,4/11/2015,255,7226110091C04100000000,1682,2790,6/11/2015,282823,EXIT,EUA,15NL1C3A9025DD9448,T2,130
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3076812X23,,,800,4/11/2015,,4/11/2015,4/11/2015,1060,7226110011C04100000000,1682,2015,12/11/2015,282823,EXIT,,,T2,540
F,3076812X24,,,800,4/11/2015,6/11/2015,4/11/2015,4/11/2015,247,7226110091C04100000000,1682,2790,6/11/2015,282824,EXIT,EUA,15NL1C3A9025DD9448,T2,130
F,3076812X25,,,800,4/11/2015,6/11/2015,4/11/2015,4/11/2015,247,7226110091C04100000000,1682,2790,6/11/2015,282824,EXIT,EUA,15NL1C3A9025DD9448,T2,130
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3076812X26,,,800,4/11/2015,,4/11/2015,4/11/2015,1026,7226110011C04100000000,1682,2015,12/11/2015,282824,EXIT,,,T2,540
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3076812X27,,,800,20/11/15,,20/11/15,20/11/15,172,7226110091C04100000000,1682,2015,25/11/15,283410,EXIT,,,T2,90
S,3076831X12,,,900,10/11/2015,16/11/15,16/11/15,16/11/15,429,7226110091C04100000000,1682,0,,283926,USED,,,T1,280
X,3076831X12SCRAP,,,200,16/11/15,,16/11/15,16/11/15,23,7.20429E+21,1682,0,,283926,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3076831X16,,,800,16/11/15,,16/11/15,16/11/15,136,7226110091C04100000000,1682,2015,20/11/15,283926,EXIT,,,T2,90
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3076831X17,,,800,16/11/15,,16/11/15,16/11/15,135,7226110091C04100000000,1682,2015,20/11/15,283926,EXIT,,,T2,90
S,3076831X18,,,900,16/11/15,16/11/15,16/11/15,16/11/15,135,7226110091C04100000000,1682,0,,283926,USED,,,T2,90
X,3076831X18SCRAP,,,200,16/11/15,,16/11/15,16/11/15,2,7.20429E+21,1682,0,,283941,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3076831X19,,,800,16/11/15,,16/11/15,16/11/15,133,7226110091C04100000000,1682,2015,20/11/15,283941,EXIT,,,T2,90
S,3076854X11,,,900,16/10/15,,16/10/15,16/10/15,203,7226110091C04100000000,1577,0,,283635,ENTREPOT,,,T1,110
X,3076854X11SCRAP,,,200,11/11/2015,,11/11/2015,11/11/2015,-4,7.20429E+21,1577,0,,283635,ENTREPOT,,,T3,0
F,3076854X12,,,800,16/10/15,20/11/15,16/10/15,16/10/15,207,7226110091C04100000000,1577,2350,20/11/15,283635,EXIT,EXA,15NL1D80D1293517A5,T2,110
S,3076854X13,,,900,16/10/15,,16/10/15,16/10/15,248,7226110091C04100000000,1577,0,,283637,ENTREPOT,,,T1,110
X,3076854X13SCRAP,,,200,11/11/2015,,11/11/2015,11/11/2015,-48,7.20429E+21,1577,0,,283637,ENTREPOT,,,T3,0
F,3076854X14,,,800,16/10/15,20/11/15,16/10/15,16/10/15,296,7226110091C04100000000,1577,2350,20/11/15,283637,EXIT,EXA,15NL1D80D1293517A5,T2,110
S,3076867X04,,,900,5/11/2015,19/11/15,19/11/15,19/11/15,3745,7225110010C04100000000,1577,0,,282540,USED,,,T1,900
X,3076867X04SCRAP,,,200,19/11/15,,19/11/15,19/11/15,147,7.20429E+21,1577,0,,282540,ENTREPOT,,,T3,0
S,3076867X10,,,900,,,16/11/15,,2605,7225110010C04100000000,1577,0,,283962,,,,T1,900
X,3076867X10SCRAP,,,200,16/11/15,,16/11/15,16/11/15,160,7.20429E+21,1577,0,,283962,ENTREPOT,,,T3,0
F,3076867X11,,,995,,,16/11/15,,1213,8.5049E+21,1577,1895,24/11/15,283962,,,,T2,900
F,3076867X12,,,995,,,16/11/15,,1232,8.5049E+21,1577,1895,24/11/15,283962,,,,T2,900
S,3076867X18,,,900,,,18/11/15,,270,7225110010C04100000000,1577,0,,284262,,,,T1,650
X,3076867X18SCRAP,,,200,18/11/15,,18/11/15,18/11/15,71,7.20429E+21,1577,0,,284262,ENTREPOT,,,T3,0
F,3076867X19,,,995,,,18/11/15,,199,8.5049E+21,1577,1895,25/11/15,284262,,,,T2,650
F,3076867X20,,,995,19/11/15,,19/11/15,19/11/15,1694,8.5049E+21,1577,1895,25/11/15,282540,ENTREPOT,,,T2,900
F,3076867X21,,,995,19/11/15,,19/11/15,19/11/15,1668,8.5049E+21,1577,1895,26/11/15,282540,ENTREPOT,,,T2,900
F,3076867X22,,,500,19/11/15,,19/11/15,19/11/15,236,7225110010C04100000000,1577,800,,282540,EU,,,T2,900
F,3078026X25,,,800,12/11/2015,12/11/2015,12/11/2015,12/11/2015,109,7226110091C04100000000,1802.5,2190,17/11/15,283232,EXIT,EUA,15NL1D3A9724AC8123,F1,100
F,3078026X26,,,800,12/11/2015,12/11/2015,12/11/2015,12/11/2015,109,7226110091C04100000000,1802.5,2190,17/11/15,283232,EXIT,EUA,15NL1D3A9724AC8123,F1,100
F,3078026X27,,,800,12/11/2015,12/11/2015,12/11/2015,12/11/2015,76,7226110091C04100000000,1802.5,2190,17/11/15,283232,EXIT,EUA,15NL1D3A9724AC8123,F1,70
F,3078026X28,,,800,12/11/2015,12/11/2015,12/11/2015,12/11/2015,87,7226110091C04100000000,1802.5,2190,17/11/15,283232,EXIT,EUA,15NL1D3A9724AC8123,F1,80
F,3078026X29,,,800,12/11/2015,12/11/2015,12/11/2015,12/11/2015,143,7226110091C04100000000,1802.5,2190,17/11/15,283232,EXIT,EUA,15NL1D3A9724AC8123,F1,130
F,3078026X30,,,800,12/11/2015,12/11/2015,12/11/2015,12/11/2015,164,7226110091C04100000000,1802.5,2190,17/11/15,283232,EXIT,EUA,15NL1D3A9724AC8123,F1,150
F,3078026X31,,,800,12/11/2015,12/11/2015,12/11/2015,12/11/2015,186,7226110091C04100000000,1802.5,2190,17/11/15,283232,EXIT,EUA,15NL1D3A9724AC8123,F1,170
S,3078043X20,,,900,5/11/2015,6/11/2015,6/11/2015,6/11/2015,377,7226110091C04100000000,2005,0,,283260,USED,,,T1,150
X,3078043X20SCRAP,,,200,6/11/2015,,6/11/2015,6/11/2015,36,7.20429E+21,2005,0,,283260,ENTREPOT,,,T3,0
S,3078043X25,,,900,6/11/2015,9/11/2015,9/11/2015,6/11/2015,341,7226110091C04100000000,2005,0,,283260,USED,,,T2,135
S,3078043X83,,,900,,,23/11/15,,24,7226110091C04100000000,2005,0,,284548,,,,T1,135
X,3078043X83SCRAP,,,200,23/11/15,,23/11/15,23/11/15,21,7.20429E+21,2005,0,,284548,ENTREPOT,,,T3,0
F,3078043X84,,,995,,,23/11/15,,2,8.5049E+21,2005,3300,2/12/2015,284548,,,,T2,135
F,3078043X85,,,995,,,23/11/15,,1,8.5049E+21,2005,3300,2/12/2015,284548,,,,T2,135
S,3078068X02,,,900,5/11/2015,18/11/15,18/11/15,18/11/15,5188,7225110010C04100000000,2005,0,,283963,USED,,,T1,1030
X,3078068X02SCRAP,,,200,18/11/15,,18/11/15,18/11/15,343,7.20429E+21,2005,0,,283963,ENTREPOT,,,T3,0
F,3078068X03,,,800,18/11/15,7/12/2015,18/11/15,18/11/15,156,7226110091C04100000000,2005,2790,7/12/2015,283963,EXIT,EUA,15NL1F0EB5207F7C32,T2,90
S,3078068X04,,,200,18/11/15,,18/11/15,18/11/15,269,7226110091C04100000000,2005,0,,283963,EU,,,T2,155
S,3078068X05,,,200,18/11/15,,18/11/15,18/11/15,295,7226110091C04100000000,2005,0,,283963,EU,,,T2,170
S,3078068X06,,,200,18/11/15,,18/11/15,18/11/15,305,7226110091C04100000000,2005,0,,283963,EU,,,T2,175
S,3078068X07,,,900,18/11/15,,18/11/15,18/11/15,340,7226110091C04100000000,2005,0,,283963,USED,,,T2,195
S,3078068X08,,,900,18/11/15,,18/11/15,18/11/15,340,7226110091C04100000000,2005,0,,283963,USED,,,T2,195
F,3078068X09,,,800,18/11/15,7/12/2015,18/11/15,18/11/15,157,7226110091C04100000000,2005,2790,7/12/2015,283963,EXIT,EUA,15NL1F0EB5207F7C32,T2,90
S,3078068X10,,,900,18/11/15,,18/11/15,18/11/15,271,7226110091C04100000000,2005,0,,283963,USED,,,T2,155
S,3078068X11,,,900,18/11/15,,18/11/15,18/11/15,297,7226110091C04100000000,2005,0,,283963,USED,,,T2,170
S,3078068X12,,,200,18/11/15,,18/11/15,18/11/15,306,7226110091C04100000000,2005,0,,283963,EU,,,T2,175
S,3078068X13,,,900,18/11/15,,18/11/15,18/11/15,342,7226110091C04100000000,2005,0,,283963,USED,,,T2,195
S,3078068X14,,,900,18/11/15,,18/11/15,18/11/15,342,7226110091C04100000000,2005,0,,283963,USED,,,T2,195
S,3078068X15,,,200,18/11/15,,18/11/15,18/11/15,130,7226110091C04100000000,2005,0,,283963,EU,,,T2,90
S,3078068X16,,,900,18/11/15,,18/11/15,18/11/15,225,7226110091C04100000000,2005,0,,283963,USED,,,T2,155
F,3078068X17,,,800,18/11/15,30/11/15,18/11/15,18/11/15,247,7226110091C04100000000,2005,2440,30/11/15,283963,EXIT,EXA,15NL1E67FB27BBC8E2,T2,170
S,3078068X18,,,200,18/11/15,,18/11/15,18/11/15,255,7226110091C04100000000,2005,0,,283963,EU,,,T2,175
S,3078068X19,,,200,18/11/15,,18/11/15,18/11/15,284,7226110091C04100000000,2005,0,,283963,EU,,,T2,195
S,3078068X20,,,200,18/11/15,,18/11/15,18/11/15,284,7226110091C04100000000,2005,0,,283963,EU,,,T2,195
S,3078751X27,,,900,,,18/11/15,,843,7225110010C04100000000,1577,0,,284269,,,,T1,730
X,3078751X27SCRAP,,,200,18/11/15,,18/11/15,18/11/15,158,7.20429E+21,1577,0,,284269,ENTREPOT,,,T3,0
F,3078751X28,,,995,,,18/11/15,,349,8.5049E+21,1577,1895,25/11/15,284269,,,,T2,730
F,3078751X29,,,995,,,18/11/15,,336,8.5049E+21,1577,1895,25/11/15,284269,,,,T2,730
S,3078751X34,,,900,,,19/11/15,,736,7225110010C04100000000,1577,0,,284348,,,,T1,860
X,3078751X34SCRAP,,,200,19/11/15,,19/11/15,19/11/15,195,7.20429E+21,1577,0,,284348,ENTREPOT,,,T3,0
F,3078751X35,,,995,,,19/11/15,,271,8.5049E+21,1577,1895,26/11/15,284348,,,,T2,860
F,3078751X36,,,995,,,19/11/15,,270,8.5049E+21,1577,1895,26/11/15,284348,,,,T2,860
S,3078752X23,,,900,,,17/11/15,,169,7225110010C04100000000,1577,0,,284141,,,,T1,730
X,3078752X23SCRAP,,,200,17/11/15,,17/11/15,17/11/15,42,7.20429E+21,1577,0,,284141,ENTREPOT,,,T3,0
F,3078752X24,,,995,,,17/11/15,,65,8.5049E+21,1577,1895,25/11/15,284141,,,,T2,730
F,3078752X25,,,995,,,17/11/15,,62,8.5049E+21,1577,1895,25/11/15,284141,,,,T2,730
S,3078752X28,,,900,,,,,921,7225110010C04100000000,1577,0,,284345,,,,T1,850
X,3078752X28SCRAP,,,200,19/11/15,,19/11/15,19/11/15,31,7.20429E+21,1577,0,,284345,ENTREPOT,,,T3,0
S,3078752X29,,,900,,,,,890,7225110010C04100000000,1577,0,,284345,USED,,,T2,850
S,3078752X35,,,900,,,19/11/15,,659,7225110010C04100000000,1577,0,,284370,,,,T1,890
X,3078752X35SCRAP,,,200,19/11/15,,19/11/15,19/11/15,79,7.20429E+21,1577,0,,284370,ENTREPOT,,,T3,0
F,3078752X36,,,995,,,19/11/15,,356,8.5049E+21,1577,1895,25/11/15,284370,,,,T2,890
F,3078752X37,,,400,,,19/11/15,,224,7225110010C04100000000,1577,800,,284370,EU,,,T2,890
S,3078754X15,,,900,,,19/11/15,,130,7225110010C04100000000,1577,0,,283987,,,,T1,890
X,3078754X15SCRAP,,,200,19/11/15,,19/11/15,19/11/15,37,7.20429E+21,1577,0,,283987,ENTREPOT,,,T3,0
S,3078754X28,,,900,,,19/11/15,,2126,7225110010C04100000000,1577,0,,284346,,,,T1,850
X,3078754X28SCRAP,,,200,19/11/15,,19/11/15,19/11/15,54,7.20429E+21,1577,0,,284346,ENTREPOT,,,T3,0
F,3078754X29,,,995,,,19/11/15,,198,8.5049E+21,1577,1895,25/11/15,284346,,,,T2,850
S,3078754X30,,,900,,,19/11/15,,1874,7225110010C04100000000,1577,0,,284346,USED,,,T2,850
S,3078754X36,,,900,,,19/11/15,,543,7225110010C04100000000,1577,0,,284350,,,,T1,870
X,3078754X36SCRAP,,,200,19/11/15,,19/11/15,19/11/15,98,7.20429E+21,1577,0,,284350,ENTREPOT,,,T3,0
F,3078754X37,,,995,,,19/11/15,,251,8.5049E+21,1577,1895,25/11/15,284350,,,,T2,870
F,3078754X38,,,400,,,19/11/15,,194,7225110010C04100000000,1577,800,,284350,EU,,,T2,870
F,3078754X39,,,995,,,19/11/15,,46,8.5049E+21,1577,1895,26/11/15,283987,,,,T2,890
F,3078754X40,,,995,,,19/11/15,,47,8.5049E+21,1577,1895,26/11/15,283987,,,,T2,890
S,3078755X06,,,900,9/11/2015,20/11/15,20/11/15,20/11/15,1294,7225110010C04100000000,1577,0,,283559,USED,,,T1,650
X,3078755X06SCRAP,,,200,20/11/15,,20/11/15,20/11/15,119,7.20429E+21,1577,0,,283559,ENTREPOT,,,T3,0
S,3078755X08,,,900,9/11/2015,20/11/15,20/11/15,20/11/15,1287,7225110010C04100000000,1577,0,,283560,USED,,,T1,650
X,3078755X08SCRAP,,,200,20/11/15,,20/11/15,20/11/15,107,7.20429E+21,1577,0,,283560,ENTREPOT,,,T3,0
S,3078755X13,,,900,20/11/15,,20/11/15,20/11/15,1175,7225110010C04100000000,1577,0,,283559,USED,,,T2,600
S,3078755X14,,,900,20/11/15,,20/11/15,20/11/15,1180,7225110010C04100000000,1577,0,,283560,USED,,,T2,600
S,3078755X39,,,900,,,17/11/15,,53,7226110091C04100000000,1577,0,,284216,,,,T1,290
X,3078755X39SCRAP,,,200,17/11/15,,17/11/15,17/11/15,23,7.20429E+21,1577,0,,284216,ENTREPOT,,,T3,0
F,3078755X40,,,995,,,17/11/15,,14,8.5049E+21,1577,1895,25/11/15,284216,,,,T2,290
F,3078755X41,,,995,,,17/11/15,,16,8.5049E+21,1577,1895,25/11/15,284216,,,,T2,290
S,3078755X44,,,900,,,17/11/15,,461,7226110091C04100000000,1577,0,,284218,,,,T1,290
X,3078755X44SCRAP,,,200,17/11/15,,17/11/15,17/11/15,5,7.20429E+21,1577,0,,284218,ENTREPOT,,,T3,0
F,3078755X45,,,995,,,17/11/15,,66,8.5049E+21,1577,1895,25/11/15,284218,,,,T2,290
S,3078755X46,,,200,,,17/11/15,,390,7226110091C04100000000,1577,0,,284218,EU,,,T2,290
S,3078755X51,,,900,,,19/11/15,,559,7225110010C04100000000,1577,0,,284277,,,,T1,820
X,3078755X51SCRAP,,,200,19/11/15,,19/11/15,19/11/15,207,7.20429E+21,1577,0,,284277,ENTREPOT,,,T3,0
F,3078755X52,,,995,,,19/11/15,,178,8.5049E+21,1577,1895,26/11/15,284277,,,,T2,820
F,3078755X53,,,995,,,19/11/15,,174,8.5049E+21,1577,1895,26/11/15,284277,,,,T2,820
S,3078759X13,,,900,,,17/11/15,,498,7225110010C04100000000,1577,0,,284035,,,,T1,830
X,3078759X13SCRAP,,,200,17/11/15,,17/11/15,17/11/15,103,7.20429E+21,1577,0,,284035,ENTREPOT,,,T3,0
F,3078759X14,,,995,,,17/11/15,,199,8.5049E+21,1577,1895,25/11/15,284035,,,,T2,830
F,3078759X15,,,995,,,17/11/15,,196,8.5049E+21,1577,1895,24/11/15,284035,,,,T2,830
S,3078759X17,,,900,,,19/11/15,,1287,7225110010C04100000000,1577,0,,284376,,,,T1,900
X,3078759X17SCRAP,,,200,19/11/15,,19/11/15,19/11/15,311,7.20429E+21,1577,0,,284376,ENTREPOT,,,T3,0
F,3078759X18,,,995,,,19/11/15,,489,8.5049E+21,1577,1895,25/11/15,284376,,,,T2,900
F,3078759X19,,,995,,,19/11/15,,487,8.5049E+21,1577,1895,26/11/15,284376,,,,T2,900
S,3078760X04,,,900,5/11/2015,16/11/15,16/11/15,16/11/15,3335,7225110010C04100000000,1577,0,,282543,USED,,,T1,900
X,3078760X04SCRAP,,,200,16/11/15,,16/11/15,16/11/15,215,7.20429E+21,1577,0,,282543,ENTREPOT,,,T3,0
F,3078760X09,,,995,16/11/15,,16/11/15,16/11/15,1548,8.5049E+21,1577,1895,24/11/15,282543,ENTREPOT,,,T2,900
F,3078760X10,,,995,16/11/15,,16/11/15,16/11/15,1572,8.5049E+21,1577,1895,24/11/15,282543,ENTREPOT,,,T2,900
S,3078760X13,,,900,,,16/11/15,,1925,7225110010C04100000000,1577,0,,283983,,,,T1,900
X,3078760X13SCRAP,,,200,16/11/15,,16/11/15,16/11/15,330,7.20429E+21,1577,0,,283983,ENTREPOT,,,T3,0
F,3078760X14,,,995,,,16/11/15,,1595,8.5049E+21,1577,1895,25/11/15,283983,,,,T2,900
S,3078760X17,,,900,,,17/11/15,,176,7225110010C04100000000,1577,0,,284049,,,,T1,780
X,3078760X17SCRAP,,,200,17/11/15,,17/11/15,17/11/15,68,7.20429E+21,1577,0,,284049,ENTREPOT,,,T3,0
F,3078760X18,,,995,,,17/11/15,,55,8.5049E+21,1577,1895,25/11/15,284049,,,,T2,780
F,3078760X19,,,995,,,17/11/15,,53,8.5049E+21,1577,1895,24/11/15,284049,,,,T2,780
S,3078761X18,,,900,,,18/11/15,,291,7225110010C04100000000,1577,0,,284258,,,,T1,600
X,3078761X18SCRAP,,,200,18/11/15,,18/11/15,18/11/15,132,7.20429E+21,1577,0,,284258,ENTREPOT,,,T3,0
F,3078761X19,,,995,,,18/11/15,,159,8.5049E+21,1577,1895,25/11/15,284258,,,,T2,600
R,3091211,FIAT,VC/15/6150,900,7/12/2015,14/12/15,14/12/15,14/12/15,8031,7225110010C04100000000,2005,0,,285786,AV,,,R1,1035
X,3091211SCRAP,,,200,14/12/15,,14/12/15,14/12/15,271,7.20429E+21,2005,0,,285786,ENTREPOT,,,T3,0
S,3091211X01,,,900,14/12/15,18/12/15,18/12/15,18/12/15,3830,7225110010C04100000000,2005,0,,285786,USED,,,T2,1000
X,3091211X01SCRAP,,,200,18/12/15,,18/12/15,18/12/15,145,7.20429E+21,2005,0,,286310,ENTREPOT,,,T3,0
F,3091211X02,,,800,14/12/15,16/12/15,14/12/15,14/12/15,3930,7225110010C04100000000,2005,2440,16/12/15,285786,EXIT,IMA,ART546-18257-03,T2,1000
S,3091211X03,,,250,18/12/15,,18/12/15,18/12/15,3685,7225110010C04100000000,2005,0,,286310,ENTREPOT,,,T2,970
R,3091212,FIAT,VC/15/6150,900,7/12/2015,15/12/15,15/12/15,15/12/15,7957,7225110010C04100000000,2005,0,,285798,AV,,,R1,1020
X,3091212SCRAP,,,200,15/12/15,,15/12/15,15/12/15,247,7.20429E+21,2005,0,,285798,ENTREPOT,,,T3,0
F,3091212X01,,,500,15/12/15,,15/12/15,15/12/15,2475,7225110010C04100000000,2005,2440,,285798,ENTREPOT,,,T2,980
F,3091212X02,,,800,15/12/15,17/12/15,15/12/15,15/12/15,5235,7225110010C04100000000,2005,2440,17/12/15,285798,EXIT,IMA,ART546-18257-05,T2,990
R,3091213,FIAT,VC/15/6150,200,7/12/2015,,,,7933,7225110010C04100000000,2005,0,,?,ENTREPOT,,,R1,1040
R,3091218,FIAT,VC/15/6150,900,7/12/2015,16/12/15,16/12/15,16/12/15,7797,7225110010C04100000000,2005,0,,285802,AV,,,R1,1040
X,3091218SCRAP,,,200,16/12/15,,16/12/15,16/12/15,457,7.20429E+21,2005,0,,285802,ENTREPOT,,,T3,0
F,3091218X01,,,500,16/12/15,,16/12/15,16/12/15,3715,7225110010C04100000000,2005,2440,,285802,ENTREPOT,,,T2,990
F,3091218X02,,,500,16/12/15,,16/12/15,16/12/15,3625,7225110010C04100000000,2005,2440,,285802,ENTREPOT,,,T2,990
R,3091219,FIAT,VC/15/6150,900,7/12/2015,14/12/15,14/12/15,14/12/15,7809,7225110010C04100000000,2005,0,,285788,AV,,,R1,1040
X,3091219SCRAP,,,200,14/12/15,,14/12/15,14/12/15,269,7.20429E+21,2005,0,,285788,ENTREPOT,,,T3,0
